Index,Height(cm),Weight(kg),BMI
5596,177.9902206,67.87515401366701,21.424887265269643
18432,174.6655638,55.55327192338,18.20937595539353
7835,176.35976920000002,72.476984685028,23.30242254868614
21937,174.2571064,59.175524512489005,19.48772398125154
20479,176.3780826,66.573207834056,21.39982637554368
23693,178.1801872,55.298897322284006,17.417974470155944
14500,174.9744278,48.549079982788,15.857394854647572
18276,173.9674702,54.881683060358,18.13390454256579
7711,176.08506820000002,60.82129370856,19.61600636983967
19349,174.55931560000002,60.669975293928005,19.910756313819952
14141,178.407949,66.72352834547401,20.962863318880263
9925,177.9317752,61.765400867478,19.509145200970902
20617,174.0705942,60.55743902693101,19.985576343677643
15223,175.0951032,61.322014325803,20.001769177489017
24658,174.0470484,55.321077989177006,18.262377210613057
8651,177.16972439999998,55.59926618969801,17.71291507986721
5143,182.3466508,59.471130660018005,17.885892388258597
15144,184.6175124,63.841039552598,18.73070657694779
24179,176.7513102,57.892357056996,18.530875935967337
2210,173.37262760000002,63.802393482674006,21.226378714927257
22794,174.7516698,64.10185516534801,20.990748737619263
10395,174.2375992,61.644699937821,20.30542043513118
7528,176.5154458,63.01178198176401,20.22350067931037
24550,173.11570659999998,49.657296861172,16.5695276920028
6337,173.3583782,52.375176982975006,17.427529745526048
18674,173.764829,56.406070938217006,18.681084919276337
16021,179.8322794,59.376647369347,18.360325399352888
21917,173.139989,55.90535032097401,18.649131104016902
12017,173.12297099999998,64.980690382223,21.68078127647892
13639,173.4649312,56.875539041167,18.901755856912345
6004,176.2289592,56.64974075938101,18.240778688281935
3097,174.8541334,63.31936296786101,20.7102208768159
17285,182.3178726,61.987570410304,18.648595350401862
16084,176.92590979999997,58.055015280878,18.546282409691976
9926,179.0053062,75.21241883155,23.472413438968456
14894,176.2227108,64.140954827642,20.654356341790248
7496,177.489866,53.679209687488,17.039584089553106
22852,178.1131312,60.63985676056,19.11464733426802
11711,173.62500200000002,61.936631987153,20.54580008125044
5882,177.3208036,64.125441968588,20.3944026677293
17734,175.1314506,53.641334724593,17.489254025053302
14408,173.10953440000003,54.919739460201,18.32679372362746
4816,174.97996500000002,62.10359933855,20.28337036106268
18482,176.7189252,56.799426241481,18.187701828289388
1889,182.0222674,59.034865518552,17.81802395008074
20183,174.9748088,59.481472566054,19.42811459473169
2631,173.6549994,51.851096358677005,17.19425495022263
16286,176.0555788,62.25378377225701,20.084737962857822
113,178.2724908,59.711942849251,18.78851851964244
12689,173.4498436,52.74231464725301,17.531188529846155
23238,178.3391404,54.059682967444,16.997308482679824
12524,177.9907032,58.944963510818006,18.605959251168976
13681,178.53215500000002,67.96473850674201,21.32312023727321
11909,179.85219300000003,67.23114356674101,20.784473278456204
3386,173.60773000000003,57.744667381324,19.1590410101504
17485,174.4299788,59.307293095974,19.49242385610466
3892,183.9326014,68.91564955121,20.37044082587907
11102,177.577115,68.379367292159,21.684583554208945
15246,177.8345186,65.45487584582101,20.697118022914637
24790,177.97416779999998,60.235479162705005,19.016843291036473
11717,178.6346948,60.458737327219005,18.946432551098468
1656,174.1698828,58.251511495562,19.20264616885207
6853,174.8868994,56.346015308429,18.422503709595993
3420,175.0177602,61.736370955798,20.15472391921534
16179,180.3023064,60.884524484938,18.728558596807996
5400,174.125255,60.201006142584994,19.855472152984756
5419,175.9008928,57.97921999585101,18.7385629013532
10323,175.7303064,52.20349227093,16.904651602203398
19616,173.57976459999998,50.677652897487,16.819702212463014
23918,178.5824216,63.302988283304,19.849373157485992
15374,175.17076980000002,55.732214113345,18.16280916612752
17816,173.43567040000002,59.94903558105,19.929910760843047
6564,183.2011322,56.406660608298,16.806376276928177
16297,175.6686352,62.452366511843,20.237666991755628
19637,174.8094548,52.743856861311,17.26004992087423
15878,175.5666796,59.75553307600801,19.386255571928203
5060,175.4246174,59.95778991379101,19.48339072438861
20542,177.6247908,56.491391663014,17.905032548001927
24330,178.464083,60.079443387424995,18.86358576048226
15919,175.4920036,58.39316839271301,18.960394787216476
7823,180.2079962,53.621240582602006,16.511584156209093
9859,174.187739,54.695619470184006,18.026747744791308
15248,176.179734,61.205894679083,19.718839438109782
11584,176.4474754,53.655985758144006,17.23404728948899
291,176.2931704,54.707186075619,17.60246140801884
24879,176.20150180000002,54.642821318316,17.6000500731463
19655,174.519844,54.95153628533801,18.042229645958724
14611,182.1112436,59.552686568144,17.956754212484572
23935,179.5488662,64.436107382801,19.98775247371081
21699,174.7223328,58.170862772176,19.0549874073364
17822,177.6902212,65.40593322909801,20.715245791369455
2455,174.6818198,59.475303709822,19.491320067413906
8756,173.3815176,58.145280162508,19.342333514981178
17639,174.82192619999998,58.592567598565,19.171263116586186
14838,180.4105104,72.626307293232,22.313633345303987
21534,176.70640300000002,61.09004718778501,19.56437089654663
18975,177.2049034,67.11429817222901,21.3729063626007
3934,176.28214680000002,59.370115639219,19.105184376088417
5033,173.25167280000002,58.622595413459,19.53035642071317
5731,178.4596126,57.976271645446,18.204149414469345
13667,173.45781920000002,63.873335329342,21.22911212503439
14745,176.79568400000002,57.11675946353301,18.273437086488357
23911,174.5091506,55.412068618599,18.195665904960173
1947,184.6331588,68.101632684008,19.977361301346217
23720,176.7025422,56.440090365967,18.07599052583845
21360,175.4408734,60.64793070474601,19.70400123062209
10474,173.0946246,58.070936373064995,19.38169105090621
17089,175.8989878,64.422953204071,20.821592790271623
20516,175.5399588,55.694112354265,18.074125870079737
13822,175.7155998,66.907868284642,21.669882410928253
16363,180.9092648,65.705485630246,20.076130596213797
2045,180.1898606,62.46851440021501,19.239796725254212
18035,178.37302400000002,66.208428850102,20.80917832355201
200,181.3317176,58.003623265357,17.640365228993076
8509,174.2801188,61.97881607756301,20.405516003862072
20578,173.8530178,64.53603378191201,21.35196278510785
24642,174.47003460000002,62.74656652302501,20.61333550396045
17283,173.09236400000003,57.56404689959,19.213014021898815
3977,177.02768759999998,64.64475987300101,20.627706032886657
15557,176.2629952,57.10228986693,18.37939590424407
20696,174.1217244,64.75942802413701,21.359795246474786
19096,180.3470866,60.537843836547005,18.6126704030343
2409,175.1021136,61.67744930693501,20.116092701707327
20110,176.88349179999997,61.58468966727,19.683310863682845
20705,174.60188599999998,63.757351760333,20.913773911683027
85,175.77302920000002,58.559364637081,18.953607444411784
6782,175.2435916,66.554928061545,21.67184707622664
14669,174.7835468,65.431198324107,21.418239871001244
4962,174.52068219999998,50.759571679509,16.665722449516167
