Index,Height(Inches),Weight(Pounds),Height(cm),Weight(kg),BMI
1,65.78331,112.9925,167.0896074,51.252535867225006,18.35762444995931
2,71.51521,136.4873,181.6486334,61.90959788190101,18.762629960079813
3,69.39874,153.0269,176.2727996,69.41183424475301,22.33895826656472
4,68.2166,142.3354,173.270164,64.562251420898,21.504586384553882
5,67.78781,144.2971,172.18103739999998,65.452063573127,22.07764283906248
6,68.69784,123.3024,174.4925136,55.92902784268801,18.36892212263532
7,69.80204,141.4947,177.29718160000002,64.180916315439,20.417485199648286
8,70.01472,136.4623,177.83738879999999,61.898258072651004,19.57186815324522
9,67.90265,112.3723,172.47273099999998,50.971217879351,17.135000841791086
10,66.78236,120.6672,169.6271944,54.733721229264,19.022343418077494
11,66.48769,127.4516,168.8787326,57.811073304292,20.270343598688342
12,67.62333,114.143,171.7632582,51.774393888910005,17.549085263002503
13,68.30248,125.6107,173.4882992,56.976055110359,18.93006030840653
14,67.11656,122.4618,170.47606240000002,55.547738096466,19.11347126210462
15,68.27967,116.0866,173.4303618,52.655996019242004,17.50642920788873
16,71.0916,139.9975,180.572664,63.501797819075,19.475203768539835
17,66.461,129.5023,168.81094,58.741255177451,20.613039993061108
18,68.64927,142.9733,174.3691458,64.851597993721,21.32953569910398
19,71.23033,137.9025,180.9250382,62.551521803925006,19.109113239398788
20,67.13118,124.0449,170.5131972,56.265820177413005,19.352124907643407
21,67.83379,141.2807,172.29782659999998,64.083847548259,21.58683540732669
22,68.87881,143.5392,174.9521774,65.108285915904,21.271472669592498
23,63.48115,97.90191,161.242121,44.407559384426705,17.080473293951616
24,68.42187,129.5027,173.79154979999998,58.74143661439901,19.448551063298645
25,67.62804,141.8501,171.7752216,64.342123043737,21.805916859701885
26,67.20864,129.7244,170.7099456,58.841998042828,20.19155486312153
27,70.84235,142.4235,179.939569,64.602212908695,19.952349468454077
28,67.49434,131.5502,171.43562359999999,59.670166991974,20.302761372839772
29,66.53401,108.3324,168.99638539999998,49.138750063788,17.205578273408296
30,65.44098,113.8922,166.2200892,51.660632922514004,18.697894309253254
31,69.5233,103.3016,176.58918200000002,46.856817568791996,15.026042024379741
32,65.8132,120.7536,167.165528,54.772911610032004,19.600735984098044
33,67.8163,125.7886,172.253402,57.056749192982004,19.229651261014766
34,70.59505,136.2225,179.311427,61.789486622325,19.217578039208924
35,71.80484,140.1015,182.3842936,63.548971425554996,19.10441109241631
36,69.20613,128.7487,175.7835702,58.39942796741901,18.899574708041342
37,66.80368,141.7994,169.6813472,64.319125910578,22.339421706710606
38,67.65893,121.2319,171.8536822,54.989864840603,18.619369406569746
39,67.80701,131.3478,172.2298054,59.578359896286,20.08500396457582
40,64.04535,106.7115,162.675189,48.403522191255,18.29086840754895
41,68.57463,124.3598,174.1795602,56.408656414726,18.59308163946064
42,65.18357,124.8591,165.56626780000002,56.635135085067,20.66056636937308
43,69.65814,139.6711,176.9316756,63.353745269507,20.237698111608815
44,67.96731,137.3696,172.6369674,62.309802429952,20.90685837643169
45,65.98088,106.4499,167.5914352,48.284862427263,17.19124612386784
46,68.67249,128.7639,174.4281246,58.406322571443006,19.196711578219233
47,66.88088,145.6837,169.8774352,66.081014753369,22.898409231593536
48,67.69868,116.819,171.95464719999998,52.988207071030004,17.920552288227796
49,69.82117,143.6215,177.3457718,65.145616567955,20.71302462309969
50,69.08817,134.9325,175.48395180000003,61.204352465025,19.87501639996912
51,69.91479,147.0219,177.58356659999998,66.688012062903,21.146681451390645
52,67.33182,126.3285,171.02282279999997,57.301643713545005,19.59110531665851
53,70.26939,125.4839,178.4842506,56.91853959784301,17.867095071072843
54,69.10344,115.7084,175.52273760000003,52.484447384908,17.035852100240415
55,65.38356,123.4892,166.0742424,56.013758897404,20.30907567321801
56,70.18447,147.8926,178.2685538,67.082954939462,21.108759022692798
57,70.40617,155.8987,178.8316718,70.714460812919,22.11155885329301
58,66.54376,128.0742,169.0211504,58.093479913854,20.335051927693538
59,66.36418,119.3701,168.56501720000003,54.145366566137,19.055765503260858
60,67.537,133.8148,171.54398,60.697372273076,20.62618582168899
61,66.50418,128.7325,168.9206172,58.392079771024996,20.463910361697767
62,68.99958,137.5453,175.2589332,62.389498609361,20.31192890740569
63,68.30355,129.7604,173.491017,58.858327368148004,19.554824854209407
64,67.01255,128.824,170.21187700000002,58.43358347288001,20.168927214498098
65,70.80592,135.3165,179.8470368,61.378531935105,18.976229465185515
66,68.21951,109.6113,173.2775554,49.718849345781,16.559089158956713
67,69.05914,142.4684,175.4102156,64.622579206108,21.002670683865897
68,67.73103,132.749,172.0368162,60.21393352513,20.3448365651195
69,67.21568,103.5275,170.7278272,46.95928408517501,16.110641764881358
70,67.36763,124.7299,171.1137802,56.576530950863,19.322634690712448
71,65.27033,129.3137,165.7866382,58.655707656469005,21.340826184280413
72,70.84278,134.0175,179.94066120000002,60.78931544647501,18.774510767165797
73,69.92442,140.3969,177.6080268,63.682962611653,20.188222400528137
74,64.28508,102.8351,163.28410319999998,46.645216728187,17.495215834399882
75,68.2452,128.5214,173.342808,58.296326421718,19.401242022708995
76,66.35708,120.2991,168.5469832,54.566753877867,19.208177119099794
77,68.36275,138.6036,173.641385,62.869535414532,20.851330337771735
78,65.4769,132.9574,166.311326,60.30846217503801,21.80392110921131
79,69.71947,115.6233,177.0874538,52.445846674221,16.723821123912906
80,67.72554,122.524,172.0228716,55.57595154188,18.780818729645294
81,68.63941,134.6254,174.3441014,61.06505424819801,20.089921065256657
82,66.78405,121.8986,169.631487,55.292274873682004,19.215492499150425
83,70.05147,155.3767,177.93073379999998,70.47768559577901,22.261257553344656
84,66.27848,128.9418,168.3473392,58.487016654066004,20.6370186187953
85,69.20198,129.1013,175.77302920000002,58.559364637081,18.953607444411784
86,69.13481,139.4733,175.6024174,63.264024698721,20.516148630800387
87,67.36436,140.8901,171.10547440000002,63.906674368537,21.828224335620707
88,70.09297,131.5916,178.0361438,59.688945716092,18.83118066305097
89,70.1766,121.1232,178.248564,54.940559349984,17.291831586605603
90,68.22556,131.5127,173.2929224,59.653157278099,19.864232202018474
91,68.12932,136.5479,173.0484728,61.937085579523,20.683080593243385
92,70.24256,141.4896,178.4161024,64.178602994352,20.161468606662396
93,71.48752,140.6104,181.57830080000002,63.779804582648005,19.34440111496927
94,69.20477,112.1413,175.7801158,50.866438041881004,16.462350136961103
95,70.06306,133.457,177.96017239999998,60.53507692309,19.114434898587465
96,70.55703,131.8001,179.21485619999999,59.783519725237,18.613732319494524
97,66.28644,120.0285,168.3675576,54.444011782545,19.20583951171285
98,63.42577,123.0972,161.1014558,55.835950688364,21.51369389957779
99,66.76711,128.1432,169.5884594,58.124777787384005,20.210111788773652
100,68.88741,115.4759,174.9740214,52.378987158883,17.108421829849448
101,64.87434,102.0927,164.78082360000002,46.308469752699,17.054818098868502
102,67.09272,130.353,170.4155088,59.12712620661001,20.35956713052249
103,68.34761,134.1842,173.60292940000002,60.864929294554,20.195426222586214
104,65.61073,98.64133,166.6512542,44.7429546546521,16.110443157922752
105,67.75551,114.5599,172.0989954,51.963496547963004,17.544528287209296
106,68.0212,123.4917,172.773848,56.014892878329,18.764953732612994
107,67.66193,123.048,171.8613022,55.81363394376,18.896618855360916
108,66.3146,126.4772,168.439084,57.369092898964,20.220516327798965
109,69.43706,128.417,176.37013240000002,58.24897137829,18.725705057607108
110,63.83624,127.1941,162.1440496,57.694273269017,21.94475195557392
111,67.72277,122.0562,172.0158358,55.363761031194,18.710643560864806
112,70.05098,127.6064,177.92948919999998,57.881289403168,18.28278420481789
113,70.18602,131.6423,178.2724908,59.711942849251,18.78851851964244
114,65.94588,111.8955,167.5025352,50.754945037335,18.089876112096913
115,70.007,122.039,177.81778000000003,55.35595924243,17.507091963594185
116,68.61129,128.5547,174.27267659999998,58.311431047639005,19.199728916664593
117,68.80817,132.6792,174.7727518,60.18227277770401,19.70249093113159
118,69.76212,136.0632,177.19578479999998,61.717229357784,19.65620388449623
119,65.45539,115.9403,166.25669059999998,52.589635455511,19.025754891034282
120,68.82534,136.9041,174.8163636,62.098655181717,20.319734583058075
121,65.8003,119.8804,167.13276199999999,54.376834752548,19.46662860901248
122,67.21474,109.0055,170.72543960000002,49.444063088035,16.963586301395704
123,69.42021,128.2705,176.3273334,58.182520096085,18.71342361220888
124,68.94396,135.2913,175.1176584,61.36710140738101,20.01131957883717
125,67.9415,106.8558,172.57141000000001,48.468975570246,16.27519293365207
126,65.62506,123.2939,166.68765240000002,55.925172307543,20.127992903298253
127,66.49607,109.5143,168.9000178,49.674850885891004,17.41314359716419
128,67.92809,119.3087,172.5373486,54.117515994619005,18.179068008998954
129,68.89415,140.2402,174.991141,63.611884687274,20.77333081046816
130,70.241,133.9841,178.41214,60.77416546131701,19.0928253079701
131,68.26623,132.5807,173.39622419999998,60.137593929259005,20.00169385790701
132,71.23161,130.6988,180.9282894,59.283978448156006,18.1102475370961
133,69.09747,115.5637,175.50757380000002,52.418812568969,17.017488019048834
134,64.39693,123.7941,163.5682022,56.152059211017004,20.98784879591334
135,71.09585,128.1427,180.583459,58.124550991199,17.823938541960842
136,68.21868,135.9646,173.27544720000003,61.672505150102,20.540808473915483
137,65.91721,116.6273,167.4297134,52.901253413701006,18.871259836963294
138,67.4369,126.8241,171.289726,57.526444092117,19.60671790074032
139,73.90107,151.3913,187.70871780000002,68.669938564381,19.489368741360153
140,69.98149,130.4022,177.7529846,59.149442951214,18.72047464530746
141,69.51862,136.2068,176.5772948,61.782365222116,19.815033564818368
142,65.18437,113.3989,165.5682998,51.436875806393004,18.763774463439848
143,68.00869,125.3287,172.7420726,56.848142062019,19.051098537362076
144,68.3384,127.5846,173.579536,57.871401089502,19.207327907404938
145,65.18417,107.1564,165.56779179999998,48.605325436668004,17.73095559354693
146,68.26209,116.4588,173.38570860000002,52.824823099356,17.5716059703179
147,68.56865,133.8402,174.16437100000002,60.70889351927401,20.01399035653135
148,64.49675,112.8901,163.82174500000002,51.206088008537,19.080005827374126
149,68.71053,130.7568,174.5247462,59.310286805616,19.47224359681176
150,68.89148,137.7571,174.9843592,62.485569473327004,20.407098903326418
151,69.54011,125.4036,176.6318794,56.882116130532005,18.23213654709089
152,67.39964,138.4659,171.19508560000003,62.807075745183006,21.430188270733407
153,66.47521,120.8184,168.84703340000002,54.802304395608004,19.222592146403603
154,66.01217,140.1539,167.6709118,63.572739665743,22.612859046679556
155,72.44434,136.7397,184.0086236,62.024084596089004,18.318251178726015
156,64.12642,106.1139,162.8811068,48.132455390943,18.14247751380975
157,70.98112,158.9562,180.2920448,72.10131948419401,22.181457728480794
158,67.50124,108.7868,171.4531496,49.344862436716,16.786146440508045
159,72.01515,138.7758,182.918481,62.947644020646,18.813270837260898
160,65.31143,115.9136,165.8910322,52.577524539232,19.105319988835397
161,67.07509,146.2922,170.3707286,66.35702571051401,22.861090886139433
162,64.39148,109.8765,163.5543592,49.839142042305,18.631435179142855
163,69.37003,139.0499,176.1998762,63.071973689263004,20.31539278559466
164,68.37921,119.9001,173.6831934,54.385770522237,18.02891929519285
165,65.31018,128.3069,165.8878572,58.19903085835301,21.14884031615363
166,67.1369,127.2428,170.527726,57.716363217436005,19.84764376154218
167,68.39468,115.2306,173.7224872,52.267720950522,17.31894713917819
168,66.2918,124.7975,168.381172,56.607193795075005,19.96570131853745
169,67.1866,126.9511,170.653964,57.584050323107,19.772858003752333
170,65.99156,111.2711,167.61856240000003,50.47172196150701,17.964035260731684
171,69.43393,122.6089,176.3621822,55.614461534093,17.880382658745425
172,67.97463,124.2084,172.65556020000002,56.339982529908,18.899728703077102
173,67.76133,124.6453,172.1137782,56.53815703636101,19.085800121096568
174,65.27864,119.5169,165.8077456,54.211953926053006,19.719024728104756
175,73.83364,139.2983,187.5374456,63.184646033971006,17.965345108668828
176,66.81312,104.8265,169.7053248,47.548500573805,16.509954926404582
177,66.89411,123.0424,169.9110394,55.811093826488005,19.332024683965262
178,65.73568,118.8923,166.96862720000001,53.928640131751,19.344152901796054
179,65.98283,121.4939,167.5963882,55.108706041543,19.619634100364955
180,66.58396,119.2488,169.12325840000003,54.09034581165601,18.9109385450192
181,67.11294,135.0239,170.4668676,61.245810807643004,21.076399729330397
182,65.87481,116.228,167.3220174,52.72013398036,18.830867208895885
183,66.78067,109.1731,169.6229018,49.520085169247004,17.2112497175858
184,68.73577,124.2237,174.5888558,56.346922493169,18.485753755489103
185,66.22666,141.1645,168.2157164,64.03114011486501,22.628621372087583
186,65.95968,129.1501,167.53758720000002,58.581499944737004,20.87064995314423
187,68.58372,127.8693,174.2026488,58.000538837241,19.112720977978675
188,66.59347,120.9244,169.14741379999998,54.85038518682801,19.171184986485926
189,66.96574,127.6466,170.0929796,57.899523816442006,20.012540049913078
190,68.08015,101.4693,172.923581,46.02570026924101,15.391890453445162
191,70.19025,144.9927,178.28323500000002,65.767582425699,20.691447146282204
192,65.52149,110.9523,166.4245846,50.327116713951,18.170508733759
193,67.45905,132.8625,171.345987,60.26541625912501,20.52675437768571
194,67.40985,146.3385,171.221019,66.378027037245,22.641760120942234
195,69.66158,145.5894,176.9404132,66.038240992878,21.093149100470452
196,65.79799,120.8431,167.12689459999999,54.813508127147,19.624333291024993
197,66.10558,115.7813,167.90817320000002,52.517514268681005,18.627753780243246
198,68.23987,128.3019,173.3292698,58.196762896502996,19.371132579010663
199,68.02403,127.4718,172.7810362,57.820235870166,19.368130851389118
200,71.39044,127.8761,181.3317176,58.003623265357,17.640365228993076
201,65.7316,121.4997,166.958264,55.111336877289006,19.770839268310883
202,66.43358,112.7148,168.74129320000003,51.126573266076,17.955766083993105
203,70.01309,135.002,177.83324860000002,61.23587713474001,19.363328742106816
204,69.48146,128.6789,176.48290839999999,58.367767219993006,18.739921865942748
205,68.62764,124.4062,174.3142056,56.429703100694,18.571295619763074
206,68.36275,140.026,173.641385,63.51472520162001,21.065314190084713
207,68.39028,117.519,173.7113112,53.30572173003001,17.665162262798447
208,68.77413,143.8737,174.6862902,65.26001256366901,21.38599738433892
